GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.controller,ValidationController,518,0,18,0,109,0,18,0,9,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.controller,AuthController,291,0,30,0,65,0,21,0,6,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.controller,SyncController,11,0,0,0,2,0,2,0,2,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.controller,CuestionarioController,1515,0,109,0,333,0,87,0,30,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.controller,JornadaController,775,0,58,0,201,0,46,0,17,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.controller,PreguntaController,1841,0,132,0,396,0,101,0,32,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.controller,ConcursanteController,508,0,40,0,122,0,36,0,16,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.controller,TematicaController,262,0,12,0,65,0,13,0,7,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.controller,ProgramaController,278,0,22,0,67,0,20,0,9,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.controller,ComboController,1218,0,142,0,254,0,90,0,19,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.controller,TemasController,261,0,8,0,55,0,12,0,8,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.controller,HistorialJornadaController,211,0,24,0,58,0,20,0,8,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.controller,ConfiguracionGlobalController,71,0,0,0,18,0,5,0,5,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.controller,UndoController,38,0,4,0,11,0,4,0,2,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.controller,BackupController,227,0,10,0,51,0,13,0,8,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.controller,UsuarioController,429,0,62,0,95,0,42,0,11,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.controller,EditLockController,50,0,0,0,10,0,5,0,5,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.service,AuditService,421,0,26,0,104,0,38,0,25,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.service,TimeoutOperationService.OperationType,81,0,0,0,11,0,3,0,3,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.service,TematicaService,295,0,30,0,68,0,29,0,14,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.service,ConfiguracionGlobalService,82,0,8,0,18,0,10,0,6,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.service,ExcelExportService,2060,0,156,0,463,0,99,0,21,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.service,SessionValidationService,558,0,66,0,131,0,56,0,23,0
